182	yunqi	MaxCompute   是 什么
183	yunqi	双 00
184	yunqi	腾讯
185	yunqi	阿 里 ET
186	yunqi	你 和 Siri   哪 家 强
187	yunqi	你 跟 Siri   有 什么 区别
188	yunqi	主 问题
189	yunqi	云溪小镇
190	yunqi	什么 是 云 OS
191	yunqi	微信 是 什么
192	yunqi	天猫 怎么样
193	yunqi	淘宝 是 什么
194	yunqi	马云 有 多 高
195	yunqi	你好 阿里云
196	yunqi	认识 马云 吗
197	yunqi	票 怎么 卖 ？
198	yunqi	什么 是 大数据
199	yunqi	什么 是 云计算
200	yunqi	亚马逊 怎么样
201	yunqi	你 认识 孙权 吗
202	yunqi	我 在 云栖 小镇
203	yunqi	我 现在 在 哪里
204	yunqi	支付宝 是 什么
205	yunqi	淘宝 卖 什么 的
206	yunqi	阿里云 好用 吗
207	yunqi	你 喜欢 马云 吗
208	yunqi	马云 会 唱歌 吗
209	yunqi	马云 最 喜欢 谁
210	yunqi	马云 有 多少 钱
211	yunqi	马 老师 怎么样
212	yunqi	阿里云 是 什么
213	yunqi	你 喜欢 阿里 吗
214	yunqi	怎样 才 能 获得 VIP 票 ？
215	yunqi	大会 现场 提供 WiFi 吗 ？
216	yunqi	哪里 可以 买票 ？
217	yunqi	那 风 清扬 是 谁 啊
218	yunqi	什么 是 云栖 大会
219	yunqi	飞天 ， 什么 意思
220	yunqi	智能 客服 是 什么
221	yunqi	神马 搜索 是 什么
222	yunqi	阿里云 人工 智能
223	yunqi	停车场 在 哪里 ？
224	yunqi	但是 马云 比 你 帅
225	yunqi	我 想 听 马云 说话
226	yunqi	马 总 今天 会 来 吗
227	yunqi	什么 是 人工 智能
228	yunqi	就餐 地点 在 哪里
229	yunqi	杭州 大脑 是 什么
230	yunqi	如何 预定 用餐 ？
231	yunqi	阿里巴巴 怎么样
232	yunqi	宋云溪 小镇 出发
233	yunqi	怎么 报名 参会 ？
234	yunqi	现场 取餐 怎么 取   ？
235	yunqi	好 吧 ， 睡觉 吧 ， Siri  
236	yunqi	你 知道 蚂蚁 金服 吗
237	yunqi	全市 大 数据 是 什么
