chitchat	0 加 0 等于 几	0 加 0 等于 多少	0 加 0 等于 几	0 加 0 等于 多少
chitchat	0 加 0 等于 几	0 加 0 等于 几	0 加 0 等于 几	0 加 0 等于 几
chitchat	0 加 0 等于 几	0 加 0 等于 几 啊	0 加 0 等于 几	0 加 0 等于 几 啊
chitchat	0 加 0 等于 几	0 加 0 等于 几	0 加 0 等于 几	0 加 0 等于 几
chitchat	000 的 平方根	000 的 平方根	000 的 平方根	000 的 平方根
chitchat	Can   You   Speak   Chinese  	Can   You   Speak   Chinese  	Can   You   Speak   Chinese  	Can   You   Speak   Chinese  
chitchat	你 好	Hello	你 好	Hello
chitchat	你 好	嗯 你 好	你 好	嗯 你 好
chitchat	你 好	喂 你 好	你 好	喂 你 好
chitchat	你 好	Hi	你 好	Hi
chitchat	你 好	喂喂	你 好	喂 喂
chitchat	你 好	喂喂 喂	你 好	喂 喂 喂
chitchat	你 好	好	你 好	好
chitchat	你 好	你 好 你 好	你 好	你 好 你 好
chitchat	你 好	您 好	你 好	您 好
chitchat	你 好	呃 你 好	你 好	呃 你 好
chitchat	你 好	喂喂 喂喂	你 好	喂 喂 喂 喂
chitchat	你 好	喂 你 好喂 你 好	你 好	喂 你 好 喂 你 好
chitchat	你 好	嗯 ， 你 好	你 好	嗯 ， 你 好
chitchat	你 好	Hello   这个 怎么 玩	你 好	Hello   这 个 怎么 玩
chitchat	你 好	嗨	你 好	嗨
chitchat	你 好	早上 好	你 好	早上 好
chitchat	你 好	你 好 ， 你 好	你 好	你 好 ， 你 好
chitchat	你 好	喂 ， 你 好	你 好	喂 ， 你 好
chitchat	你 好	Hello   雷好 啊	你 好	Hello   雷 好 啊
chitchat	你 好	Hello   ， 为	你 好	Hello   ， 为
chitchat	你 好	你 好 啊 ， 啊 你 好	你 好	你 好 啊 ， 啊 你 好
chitchat	你 好	你 好 一 T	你 好	你 好 一 T
chitchat	你 好	Et   早上 好	你 好	Et   早上 好
chitchat	你 好	ET 你 好	你 好	ET 你 好
chitchat	退出	退出 吧	退出	退出 吧
chitchat	退出	呃退 出	退出	呃 退 出
chitchat	退出	嗯 退出	退出	嗯 退出
chitchat	退出	关机	退出	关机
chitchat	退出	重启	退出	重启
chitchat	退出	呃 推出	退出	呃 推出
chitchat	退出	A ， 退出	退出	A ， 退出
chitchat	拍照	拍 张照 吧	拍照 拍 照	拍 张 照 吧
chitchat	拍照	啊 我 想 拍 张 照片	拍照 拍 照	啊 我 想 拍 张 照片
chitchat	拍照	为 我 拍照	拍照 拍 照	为 我 拍照 拍 照
chitchat	拍照	拍照 吧	拍照 拍 照	拍照 拍 照 吧
chitchat	拍照	照相	拍照 拍 照	照相
chitchat	拍照	给 我 拍 个 照片	拍照 拍 照	给 我 拍 个 照片
chitchat	拍照	给 我 拍 张照 吧	拍照 拍 照	给 我 拍 张 照 吧
chitchat	拍照	拍 个 照	拍照 拍 照	拍 个 照
chitchat	拍照	拍 张 照片	拍照 拍 照	拍 张 照片
chitchat	拍照	我 帮 我 拍照	拍照 拍 照	我 帮 我 拍照 拍 照
chitchat	方言	方言 听 得 懂 吗	方言	方言 听 得 懂 吗
chitchat	方言	杭州 话 会 讲 吗	方言	杭州 杭 话 会 讲 吗
chitchat	方言	方言 ， 方言 识别 ， 识别	方言	方言 ， 方言 识别 ， 识别
chitchat	方言	放眼 ， 方言 听 得 懂 吗用 的 多 吗	方言	放眼 ， 方言 听 得 懂 吗 用 的 多 吗
chitchat	方言	你 对方 言 你 对方 言 识别	方言	你 对方 言 你 对方 言 识别
chitchat	方言	你 能 听懂 杭州 以外 的 方言 吗	方言	你 能 听 懂 杭州 杭 以外 的 方言 吗
chitchat	再见	不 跟 你 玩 了 拜拜	再见	不 跟 你 玩 了 拜拜
chitchat	再见	剑 ， 的 剑再见 ， 再见 再见 再见 再见	再见	剑 ， 的 剑 再 见 ， 再见 再见 再见 再见
chitchat	谢谢	谢谢 啊 不 好 意思 麻烦 你 了	谢谢	谢谢 啊 不 好 意思 麻烦 你 了
chitchat	谢谢	非常 高兴 认识 你	谢谢	非常 高兴 认识 你
chitchat	几 点 了	几 点 了	几 点 了	几 点 了
chitchat	你 是 谁	自我 介绍 一下	你 是 谁	自我 介绍 一下
chitchat	你 是 谁	你 叫 什么 名字	你 是 谁	你 叫 什么 名字 名
chitchat	你 是 谁	你 是 谁 呀	你 是 谁	你 是 谁 呀
chitchat	你 是 谁	你 是 谁 啊	你 是 谁	你 是 谁 啊
chitchat	你 是 谁	你 叫 什么 名字 啊	你 是 谁	你 叫 什么 名字 名 啊
chitchat	你 是 谁	你 叫 什么	你 是 谁	你 叫 什么
chitchat	你 是 谁	嗯 你 是 谁	你 是 谁	嗯 你 是 谁
chitchat	你 是 谁	介绍 一下 你 自己	你 是 谁	介绍 一下 你 自己 自
chitchat	你 是 谁	你 叫 什么 名字 呀	你 是 谁	你 叫 什么 名字 名 呀
chitchat	你 是 谁	嗯 你 好 请 问 你 叫 什么 名字	你 是 谁	嗯 你 好 请 问 你 叫 什么 名字 名
chitchat	你 是 谁	好 吧 你 是 谁 呀	你 是 谁	好 吧 你 是 谁 呀
chitchat	你 是 谁	喂 你 好 你 是 谁	你 是 谁	喂 你 好 你 是 谁
chitchat	你 是 谁	你 的 名字 叫 什么 呀 嗯	你 是 谁	你 的 名字 名 叫 什么 呀 嗯
chitchat	你 是 谁	你 叫 什么 名	你 是 谁	你 叫 什么 名
chitchat	你 是 谁	你 是 谁 是 谁	你 是 谁	你 是 谁 是 谁
chitchat	你 是 谁	请 问 你 家 ， 请问 您 叫 什么 名字	你 是 谁	请 问 你 家 ， 请问 您 叫 什么 名字 名
chitchat	你 是 谁	你 可以 做 什么 呀	你 是 谁	你 可以 做 什么 呀
chitchat	你 是 谁	你 好 你 叫 什么 名字	你 是 谁	你 好 你 叫 什么 名字 名
chitchat	你 是 谁	那 你 叫 什么 名字	你 是 谁	那 你 叫 什么 名字 名
chitchat	你 是 谁	叫 什么 名字	你 是 谁	叫 什么 名字 名
chitchat	你 是 谁	你 好 你 叫 什么 名字 啊	你 是 谁	你 好 你 叫 什么 名字 名 啊
chitchat	你 是 谁	你 的 姓氏 吗	你 是 谁	你 的 姓氏 吗
chitchat	你 好 吗	你 今天 心情 好 吗	你 好 吗	你 今天 心情 好 吗
chitchat	你 好 吗	你 今天 心情 怎么样 呢	你 好 吗	你 今天 心情 怎么 样 呢
chitchat	聪明 啊	还 不错 ， 挺 聪明 的	聪明 啊	还 不错 ， 挺 聪明 的
chitchat	聪明 啊	讲 的 不错	聪明 啊	讲 的 不错
chitchat	聪明 啊	你 挺 聪明 的 嘛	聪明 啊	你 挺 聪明 的 嘛
chitchat	聪明 啊	谢谢 你 你 真的 很 智能	聪明 啊	谢谢 你 你 真 的 很 智能
chitchat	对于 一 T 二 是 外星人 的 意思 吧	对于 一 T 二 是 外星人 的 意思 吧	对于 一 T 二 是 外星 人 的 意思 吧	对于 一 T 二 是 外星 人 的 意思 吧
chitchat	你 多 大 了	你 几 岁 啦	你 多 大 了	你 几 岁 啦
chitchat	你 多 大 了	你 几 岁 了	你 多 大 了	你 几 岁 了
chitchat	你 多 大 了	你 多少 岁 了	你 多 大 了	你 多少 岁 了
chitchat	你 多 大 了	你 今年 多 大 了	你 多 大 了	你 今年 多 大 了
chitchat	你 多 大 了	多 大 岁数 了	你 多 大 了	多 大 岁数 了
chitchat	你 多 大 了	你 几 岁 了 今年	你 多 大 了	你 几 岁 了 今年
chitchat	你 多 大 了	你 几 岁 啊	你 多 大 了	你 几 岁 啊
chitchat	你 多 大 了	你 现在 几 岁 了 ， 你 现在 多 大 了	你 多 大 了	你 现在 几 岁 了 ， 你 现在 多 大 了
chitchat	你 多 大 了	那 我 先 问 你 你 几 岁 了	你 多 大 了	那 我 先 问 你 你 几 岁 了
chitchat	你 多 大 了	你 今年 多 大 年龄 吗	你 多 大 了	你 今年 多 大 年龄 吗
chitchat	你 多 大 了	你 的 生日 是 什么 时候	你 多 大 了	你 的 生日 是 什么 时候
chitchat	你 多 大 了	你 诞生 于 几年	你 多 大 了	你 诞生 于 几 年
chitchat	你 多 大 了	你 的 出生 年月 是 什么 时候	你 多 大 了	你 的 出生 生 年月 是 什么 时候
chitchat	播放 音乐	来 一 首 歌	播放 播 放 音乐 乐	来 一 首 歌
chitchat	播放 音乐	我 要 听 音乐	播放 播 放 音乐 乐	我 要 听 音乐 乐
chitchat	播放 音乐	播放 首 歌曲 吧	播放 播 放 音乐 乐	播放 播 放 首 歌曲 歌 曲 吧
chitchat	播放 音乐	张学友 的 歌	播放 播 放 音乐 乐	张学友 学友 的 歌
chitchat	播放 音乐	刘德华 的 歌	播放 播 放 音乐 乐	刘德华 德华 的 歌
chitchat	播放 音乐	我 想 听 Tfboys 的 歌	播放 播 放 音乐 乐	我 想 听 Tfboys 的 歌
chitchat	播放 音乐	张惠妹 的 歌	播放 播 放 音乐 乐	张惠妹 的 歌
chitchat	播放 音乐	梁静茹 的 歌	播放 播 放 音乐 乐	梁静茹 的 歌
chitchat	播放 音乐	放 一 首 陈奕迅 的 歌	播放 播 放 音乐 乐	放 一 首 陈奕迅 的 歌
chitchat	播放 音乐	帮 我 推荐 一 首 歌 吧	播放 播 放 音乐 乐	帮 我 推荐 荐 一 首 歌 吧
chitchat	播放 音乐	王菲 的 歌	播放 播 放 音乐 乐	王菲 的 歌
chitchat	播放 音乐	我 想 听 一 首 张学友 的 歌	播放 播 放 音乐 乐	我 想 听 一 首 张学友 学友 的 歌
chitchat	播放 音乐	我 要 听陈奕迅 的 歌	播放 播 放 音乐 乐	我 要 听 陈 奕 迅 的 歌
chitchat	播放 音乐	播放 一 首 歌曲	播放 播 放 音乐 乐	播放 播 放 一 首 歌曲 歌 曲
chitchat	播放 音乐	我 要 听 首歌	播放 播 放 音乐 乐	我 要 听 首 歌
chitchat	播放 音乐	来 首 音乐 吧	播放 播 放 音乐 乐	来 首 音乐 乐 吧
chitchat	播放 音乐	播放 一 首 歌	播放 播 放 音乐 乐	播放 播 放 一 首 歌
chitchat	播放 音乐	唱 一 首 刘若英 的 歌 吧	播放 播 放 音乐 乐	唱 一 首 刘若英 的 歌 吧
chitchat	播放 音乐	给 我 来 一 首 邓丽君 的 歌	播放 播 放 音乐 乐	给 我 来 一 首 邓丽君 的 歌
chitchat	播放 音乐	呃 你 给 我播 首 歌 好 吗	播放 播 放 音乐 乐	呃 你 给 我 播 首 歌 好 吗
chitchat	播放 音乐	我 今天 心情 不错 给 我 播首 歌 呗	播放 播 放 音乐 乐	我 今天 心情 不错 给 我 播 首 歌 呗
chitchat	播放 音乐	播放 首 音乐 吧	播放 播 放 音乐 乐	播放 播 放 首 音乐 乐 吧
chitchat	播放 音乐	嗯帮 我 播放 音乐 好久 不 见	播放 播 放 音乐 乐	嗯 帮 我 播放 播 放 音乐 乐 好久 不 见
chitchat	播放 音乐	睡觉 用 的 歌曲	播放 播 放 音乐 乐	睡觉 睡 用 的 歌曲 歌 曲
chitchat	再 讲 一 遍	再 讲 一 遍	再 讲 一 遍	再 讲 一 遍
chitchat	你 在 干嘛	你 在 干嘛	你 在 干 嘛	你 在 干 嘛
chitchat	卖萌 可耻	卖萌 可耻	卖 萌 可耻	卖 萌 可耻
chitchat	我 漂亮 吗	我 漂亮 吗	我 漂亮 漂 吗	我 漂亮 漂 吗
chitchat	取 个 名字	取 个 名字	取 个 名字 名	取 个 名字 名
chitchat	成语 接龙	成语 接龙	成语 接龙	成语 接龙
chitchat	你 好傻 呀	你 是 不 是 傻	你 好 傻 呀	你 是 不 是 傻
chitchat	你 好傻 呀	你 真蠢	你 好 傻 呀	你 真 蠢
chitchat	你 好傻 呀	智商 不 够 高 啊	你 好 傻 呀	智商 不 够 高 啊
chitchat	唱 首 歌 吧	给 我 唱首 歌 吧	唱 首 歌 吧	给 我 唱 首 歌 吧
chitchat	唱 首 歌 吧	你 会 唱歌 吗	唱 首 歌 吧	你 会 唱歌 唱 歌 吗
chitchat	唱 首 歌 吧	唱 首歌	唱 首 歌 吧	唱 首 歌
